P1A2,P1A2_1.fastq.gz,P1A2_2.fastq.gz
P1A3,P1A3_1.fastq.gz,P1A3_2.fastq.gz
P1B2,P1B2_1.fastq.gz,P1B2_2.fastq.gz
P1B3,P1B3_1.fastq.gz,P1B3_2.fastq.gz
P1C2,P1C2_1.fastq.gz,P1C2_2.fastq.gz
P1C3,P1C3_1.fastq.gz,P1C3_2.fastq.gz
P2A2,P2A2_1.fastq.gz,P2A2_2.fastq.gz
P2A3,P2A3_1.fastq.gz,P2A3_2.fastq.gz
P2B2,P2B2_1.fastq.gz,P2B2_2.fastq.gz
P2B3,P2B3_1.fastq.gz,P2B3_2.fastq.gz
P2C2,P2C2_1.fastq.gz,P2C2_2.fastq.gz
P2C3,P2C3_1.fastq.gz,P2C3_2.fastq.gz
P3A2,P3A2_1.fastq.gz,P3A2_2.fastq.gz
P3A3,P3A3_1.fastq.gz,P3A3_2.fastq.gz
P3B2,P3B2_1.fastq.gz,P3B2_2.fastq.gz
P3B3,P3B3_1.fastq.gz,P3B3_2.fastq.gz
P3C2,P3C2_1.fastq.gz,P3C2_2.fastq.gz
P3C3,P3C3_1.fastq.gz,P3C3_2.fastq.gz
